date,price
20120104,544.33
20120105,552.59
20120106,551.15
20120109,566.59
20120120,602.49
20120130,599.98
20120131,597.47
20120201,590.65
20120202,607.52
20120203,610.03
20120206,604.29
20120207,595.67
20120208,606.8
20120210,607.16
20120213,598.9
20120214,596.03
20120215,596.75
20120216,590.65
20120221,592.08
20120222,596.75
20120223,597.11
20120224,605.73
20120227,607.52
20120228,619.37
20120229,613.98
20120301,618.65
20120302,627.63
20120305,620.09
20120306,608.6
20120307,603.21
20120308,611.47
20120309,605.73
20120312,599.62
20120313,605.01
20120314,591.72
20120315,583.46
20120316,588.85
20120319,587.06
20120320,577.0
20120321,578.08
20120322,581.31
20120323,574.85
20120326,575.92
20120327,577.0
20120328,566.59
20120329,559.05
20120330,564.08
20120405,565.15
20120406,574.13
20120409,565.51
20120410,570.18
20120411,568.38
20120412,586.34
20120413,585.26
20120416,580.95
20120417,574.13
20120418,583.82
20120419,587.41
20120420,595.31
20120423,589.57
20120424,601.78
20120425,605.37
20120426,595.31
20120427,594.6
20120502,602.49
20120503,597.11
20120504,599.98
20120507,596.03
20120508,593.88
20120509,580.23
20120510,579.16
20120511,575.21
20120514,572.33
20120515,575.21
20120516,565.87
20120517,572.33
20120518,564.43
20120521,566.23
20120522,573.41
20120524,564.08
20120525,560.84
20120528,567.67
20120529,571.98
20120530,563.72
20120531,563.36
20120601,566.59
20120604,552.95
20120605,547.92
20120606,550.07
20120607,546.12
20120608,531.76
20120611,531.04
20120612,521.71
20120613,532.84
20120614,525.66
20120615,544.33
20120618,546.12
20120619,547.56
20120620,546.84
20120621,534.99
20120625,530.32
20120626,534.99
20120627,533.56
20120628,528.89
20120629,544.33
20120702,543.97
20120703,543.25
20120704,548.64
20120705,545.41
20120706,543.61
20120709,528.17
20120710,535.35
20120711,533.56
20120712,534.27
20120713,537.86
20120716,533.2
20120717,539.66
20120718,538.94
20120719,539.3
20120720,533.2
20120723,531.76
20120724,531.4
20120725,525.66
20120726,526.02
20120727,529.61
20120730,533.2
20120731,542.17
20120801,544.33
20120803,543.97
20120806,542.17
20120807,537.15
20120808,540.02
20120810,541.46
20120813,539.66
20120814,547.92
20120815,542.17
20120816,535.35
20120817,540.74
20120820,533.2
20120821,531.04
20120822,526.73
20120823,524.94
20120824,515.96
20120827,506.63
20120828,515.96
20120829,512.73
20120831,509.5
20120903,510.22
20120904,498.01
20120905,489.03
20120906,492.98
20120907,510.22
20120910,505.19
20120911,503.4
20120912,501.96
20120913,498.73
20120914,504.47
20120917,492.26
20120918,485.08
20120919,478.98
20120920,467.13
20120921,462.46
20120924,463.54
20120925,457.44
20120926,453.85
20120927,467.85
20120928,471.44
20121008,465.34
20121009,477.18
20121011,474.67
20121012,477.18
20121015,470.36
20121016,474.67
20121017,479.7
20121018,485.08
20121019,485.81
20121022,487.25
20121023,481.1
20121024,480.74
20121025,477.85
20121026,467.72
20121029,468.08
20121030,473.51
20121031,476.04
20121101,484.0
20121102,489.42
20121105,492.32
20121106,491.23
20121107,490.15
20121108,484.0
20121109,485.45
20121112,492.68
20121113,485.45
20121114,484.0
20121115,475.68
20121116,473.87
20121119,473.51
20121120,473.15
20121121,479.66
20121122,475.68
20121123,479.66
20121126,474.96
20121127,476.76
20121128,473.51
20121129,460.85
20121130,463.02
20121203,454.34
20121204,459.4
20121205,484.36
20121206,488.7
20121207,507.15
20121210,518.0
20121211,510.41
20121212,515.11
20121213,508.6
20121214,549.11
20121217,550.56
20121218,551.64
20121219,549.11
20121220,546.58
20121221,537.9
20121224,539.71
20121225,557.43
20121226,555.98
20121227,559.96
20121228,564.3
20121231,579.5
20130104,578.41
20130107,589.62
20130108,578.77
20130109,573.71
20130110,574.07
20130111,562.13
20130114,618.2
20130115,637.01
20130116,644.61
20130117,641.71
20130118,663.06
20130121,712.61
20130122,740.83
20130123,725.27
20130124,703.57
20130125,692.72
20130128,762.17
20130129,773.38
20130130,771.58
20130131,763.26
20130201,811.37
20130204,796.17
20130205,787.85
20130206,790.75
20130207,754.21
20130208,750.6
20130218,756.02
20130219,752.77
20130220,734.32
20130221,709.0
20130222,691.63
20130225,723.83
20130226,754.21
20130227,760.36
20130228,831.99
20130301,834.16
20130304,786.77
20130305,865.63
20130306,877.2
20130307,858.75
20130308,826.92
20130311,818.6
20130312,785.68
20130313,799.07
20130314,783.88
20130315,803.05
20130318,772.3
20130319,777.73
20130320,835.6
20130321,830.54
20130322,833.07
20130325,823.3
20130326,800.88
20130327,801.24
20130328,724.19
20130329,727.81
20130401,737.57
20130402,739.38
20130403,739.74
20130408,720.93
20130409,721.3
20130410,701.76
20130411,702.12
20130412,683.68
20130415,671.38
20130416,678.25
20130417,668.84
20130418,690.91
20130419,732.15
20130422,731.79
20130423,690.19
20130424,701.76
20130425,681.14
20130426,676.44
20130502,684.04
20130503,713.7
20130506,734.68
20130507,732.51
20130508,737.21
20130509,728.17
20130510,730.34
20130513,720.57
20130514,697.78
20130515,698.14
20130516,734.68
20130517,737.57
20130520,758.92
20130521,763.26
20130522,765.43
20130523,742.28
20130524,748.43
20130527,738.66
20130528,781.34
20130529,769.77
20130530,766.87
20130531,759.28
20130603,756.38
20130604,764.34
20130605,752.77
20130606,728.17
20130607,706.46
20130613,679.7
20130614,689.46
20130617,695.97
20130618,713.7
20130619,695.97
20130620,652.77
20130621,658.61
20130624,592.63
20130625,582.7
20130626,569.86
20130627,560.52
20130628,582.12
20130701,569.27
20130702,560.52
20130703,544.75
